"data_as_of","start_date","end_date","group","year","month","mmwr_week","week_ending_date","state","covid_19_deaths","total_deaths","percent_of_expected_deaths","pneumonia_deaths","pneumonia_and_covid_19_deaths","influenza_deaths","pneumonia_influenza_or_covid_19_deaths","footnote"
"2021-01-22T00:00:00.000","2020-06-14T00:00:00.000","2020-06-20T00:00:00.000","By Week","2020",,"25","2020-06-20T00:00:00.000","United States","3821","57915","112.00","4364","1603","8","6589",
"2021-01-22T00:00:00.000","2020-06-21T00:00:00.000","2020-06-27T00:00:00.000","By Week","2020",,"26","2020-06-27T00:00:00.000","United States","3808","58414","114.00","4261","1553","12","6527",
"2021-01-22T00:00:00.000","2020-06-28T00:00:00.000","2020-07-04T00:00:00.000","By Week","2020",,"27","2020-07-04T00:00:00.000","United States","4510","59739","115.00","4556","1999","5","7069",
"2021-01-22T00:00:00.000","2020-07-05T00:00:00.000","2020-07-11T00:00:00.000","By Week","2020",,"28","2020-07-11T00:00:00.000","United States","5744","61822","121.00","5529","2708","10","8574",
"2021-01-22T00:00:00.000","2020-07-12T00:00:00.000","2020-07-18T00:00:00.000","By Week","2020",,"29","2020-07-18T00:00:00.000","United States","7148","63050","124.00","6179","3444","13","9893",
"2021-01-22T00:00:00.000","2020-07-19T00:00:00.000","2020-07-25T00:00:00.000","By Week","2020",,"30","2020-07-25T00:00:00.000","United States","8178","64112","127.00","6746","3950","11","10980",
"2021-01-22T00:00:00.000","2020-07-26T00:00:00.000","2020-08-01T00:00:00.000","By Week","2020",,"31","2020-08-01T00:00:00.000","United States","8258","64076","126.00","6831","4061","13","11034",
"2021-01-22T00:00:00.000","2020-08-02T00:00:00.000","2020-08-08T00:00:00.000","By Week","2020",,"32","2020-08-08T00:00:00.000","United States","7809","63543","124.00","6795","3968","9","10642",
"2021-01-22T00:00:00.000","2020-08-09T00:00:00.000","2020-08-15T00:00:00.000","By Week","2020",,"33","2020-08-15T00:00:00.000","United States","7207","63410","125.00","6492","3665","5","10036",
"2021-01-22T00:00:00.000","2020-08-16T00:00:00.000","2020-08-22T00:00:00.000","By Week","2020",,"34","2020-08-22T00:00:00.000","United States","6331","62262","123.00","5953","3206","12","9087",
"2021-01-22T00:00:00.000","2020-08-23T00:00:00.000","2020-08-29T00:00:00.000","By Week","2020",,"35","2020-08-29T00:00:00.000","United States","5672","60788","119.00","5527","2869","11","8336",
"2021-01-22T00:00:00.000","2020-08-30T00:00:00.000","2020-09-05T00:00:00.000","By Week","2020",,"36","2020-09-05T00:00:00.000","United States","4937","59768","117.00","5167","2484","9","7625",
"2021-01-22T00:00:00.000","2020-09-06T00:00:00.000","2020-09-12T00:00:00.000","By Week","2020",,"37","2020-09-12T00:00:00.000","United States","4519","59058","114.00","4889","2252","7","7161",
"2021-01-22T00:00:00.000","2020-09-13T00:00:00.000","2020-09-19T00:00:00.000","By Week","2020",,"38","2020-09-19T00:00:00.000","United States","4148","58952","114.00","4699","2008","5","6844",
"2021-01-22T00:00:00.000","2020-09-20T00:00:00.000","2020-09-26T00:00:00.000","By Week","2020",,"39","2020-09-26T00:00:00.000","United States","4147","59529","115.00","4837","2055","4","6932",
"2021-01-22T00:00:00.000","2020-09-27T00:00:00.000","2020-10-03T00:00:00.000","By Week","2020",,"40","2020-10-03T00:00:00.000","United States","4044","58224","111.00","4664","1945","8","6771",
"2021-01-22T00:00:00.000","2020-10-04T00:00:00.000","2020-10-10T00:00:00.000","By Week","2020",,"41","2020-10-10T00:00:00.000","United States","4570","59610","114.00","4935","2239","13","7276",
"2021-01-22T00:00:00.000","2020-10-11T00:00:00.000","2020-10-17T00:00:00.000","By Week","2020",,"42","2020-10-17T00:00:00.000","United States","4905","57997","109.00","4961","2328","17","7548",
"2021-01-22T00:00:00.000","2020-10-18T00:00:00.000","2020-10-24T00:00:00.000","By Week","2020",,"43","2020-10-24T00:00:00.000","United States","5658","59440","111.00","5373","2599","16","8441",
"2021-01-22T00:00:00.000","2020-10-25T00:00:00.000","2020-10-31T00:00:00.000","By Week","2020",,"44","2020-10-31T00:00:00.000","United States","6567","60474","112.00","5791","3052","20","9321",
"2021-01-22T00:00:00.000","2020-11-01T00:00:00.000","2020-11-07T00:00:00.000","By Week","2020",,"45","2020-11-07T00:00:00.000","United States","8213","64074","118.00","6693","3844","21","11075",
"2021-01-22T00:00:00.000","2020-11-08T00:00:00.000","2020-11-14T00:00:00.000","By Week","2020",,"46","2020-11-14T00:00:00.000","United States","10011","65319","119.00","7601","4741","19","12883",
"2021-01-22T00:00:00.000","2020-11-15T00:00:00.000","2020-11-21T00:00:00.000","By Week","2020",,"47","2020-11-21T00:00:00.000","United States","12567","67366","122.00","8884","5972","28","15497",
"2021-01-22T00:00:00.000","2020-11-22T00:00:00.000","2020-11-28T00:00:00.000","By Week","2020",,"48","2020-11-28T00:00:00.000","United States","14482","68343","124.00","9769","7024","23","17238",
"2021-01-22T00:00:00.000","2020-11-29T00:00:00.000","2020-12-05T00:00:00.000","By Week","2020",,"49","2020-12-05T00:00:00.000","United States","16763","71139","126.00","11003","8072","31","19713",
"2021-01-22T00:00:00.000","2020-12-06T00:00:00.000","2020-12-12T00:00:00.000","By Week","2020",,"50","2020-12-12T00:00:00.000","United States","17476","72472","127.00","11297","8439","24","20347",
"2021-01-22T00:00:00.000","2020-12-13T00:00:00.000","2020-12-19T00:00:00.000","By Week","2020",,"51","2020-12-19T00:00:00.000","United States","15656","67102","116.00","10376","7674","23","18370",
"2021-01-22T00:00:00.000","2020-12-20T00:00:00.000","2020-12-26T00:00:00.000","By Week","2020",,"52","2020-12-26T00:00:00.000","United States","9846","55011","94.00","7132","4850","16","12137",
"2021-01-22T00:00:00.000","2020-12-27T00:00:00.000","2021-01-02T00:00:00.000","By Week",,,"53","2021-01-02T00:00:00.000","United States","6141","46300","79.00","5141","3150","12","8139",
"2021-01-22T00:00:00.000","2021-01-03T00:00:00.000","2021-01-09T00:00:00.000","By Week","2021",,"1","2021-01-09T00:00:00.000","United States","5081","38453","62.00","4259","2611","7","6735",
"2021-01-22T00:00:00.000","2021-01-10T00:00:00.000","2021-01-16T00:00:00.000","By Week","2021",,"2","2021-01-16T00:00:00.000","United States","2367","22713","36.00","2142","1170","5","3344",
"2021-01-22T00:00:00.000","2019-12-29T00:00:00.000","2020-01-04T00:00:00.000","By Week",,,"1","2020-01-04T00:00:00.000","Alabama","0","1081","94.00","63","0",,"69","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-01-05T00:00:00.000","2020-01-11T00:00:00.000","By Week","2020",,"2","2020-01-11T00:00:00.000","Alabama","0","1127","96.00","79","0","10","89",
"2021-01-22T00:00:00.000","2020-01-12T00:00:00.000","2020-01-18T00:00:00.000","By Week","2020",,"3","2020-01-18T00:00:00.000","Alabama","0","1039","91.00","62","0",,"65","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-01-19T00:00:00.000","2020-01-25T00:00:00.000","By Week","2020",,"4","2020-01-25T00:00:00.000","Alabama","0","1055","94.00","62","0",,"69","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-01-26T00:00:00.000","2020-02-01T00:00:00.000","By Week","2020",,"5","2020-02-01T00:00:00.000","Alabama","0","1026","94.00","56","0","14","70",
"2021-01-22T00:00:00.000","2020-02-02T00:00:00.000","2020-02-08T00:00:00.000","By Week","2020",,"6","2020-02-08T00:00:00.000","Alabama","0","1119","101.00","61","0","10","71",
"2021-01-22T00:00:00.000","2020-02-09T00:00:00.000","2020-02-15T00:00:00.000","By Week","2020",,"7","2020-02-15T00:00:00.000","Alabama","0","1094","101.00","76","0",,"82","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-02-16T00:00:00.000","2020-02-22T00:00:00.000","By Week","2020",,"8","2020-02-22T00:00:00.000","Alabama","0","1097","101.00","68","0",,"73","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-02-23T00:00:00.000","2020-02-29T00:00:00.000","By Week","2020",,"9","2020-02-29T00:00:00.000","Alabama","0","1162","112.00","63","0","14","77",
"2021-01-22T00:00:00.000","2020-03-01T00:00:00.000","2020-03-07T00:00:00.000","By Week","2020",,"10","2020-03-07T00:00:00.000","Alabama","0","1054","101.00","58","0","13","71",
"2021-01-22T00:00:00.000","2020-03-08T00:00:00.000","2020-03-14T00:00:00.000","By Week","2020",,"11","2020-03-14T00:00:00.000","Alabama","0","1091","101.00","61","0",,"68","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-15T00:00:00.000","2020-03-21T00:00:00.000","By Week","2020",,"12","2020-03-21T00:00:00.000","Alabama",,"1058","103.00","71",,,"79","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-22T00:00:00.000","2020-03-28T00:00:00.000","By Week","2020",,"13","2020-03-28T00:00:00.000","Alabama","23","1073","105.00","68",,,"92","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-29T00:00:00.000","2020-04-04T00:00:00.000","By Week","2020",,"14","2020-04-04T00:00:00.000","Alabama","49","1156","112.00","65","11",,"106","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-04-05T00:00:00.000","2020-04-11T00:00:00.000","By Week","2020",,"15","2020-04-11T00:00:00.000","Alabama","81","1134","111.00","85","27",,"143","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-04-12T00:00:00.000","2020-04-18T00:00:00.000","By Week","2020",,"16","2020-04-18T00:00:00.000","Alabama","89","1144","116.00","94","26","0","157",
"2021-01-22T00:00:00.000","2020-04-19T00:00:00.000","2020-04-25T00:00:00.000","By Week","2020",,"17","2020-04-25T00:00:00.000","Alabama","83","1138","113.00","77","19",,"142","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-04-26T00:00:00.000","2020-05-02T00:00:00.000","By Week","2020",,"18","2020-05-02T00:00:00.000","Alabama","81","1147","116.00","87","26",,"143","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-05-03T00:00:00.000","2020-05-09T00:00:00.000","By Week","2020",,"19","2020-05-09T00:00:00.000","Alabama","116","1168","116.00","94","34",,"176","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-05-10T00:00:00.000","2020-05-16T00:00:00.000","By Week","2020",,"20","2020-05-16T00:00:00.000","Alabama","94","1147","115.00","89","30",,"154","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-05-17T00:00:00.000","2020-05-23T00:00:00.000","By Week","2020",,"21","2020-05-23T00:00:00.000","Alabama","79","1151","117.00","82","23","0","138",
"2021-01-22T00:00:00.000","2020-05-24T00:00:00.000","2020-05-30T00:00:00.000","By Week","2020",,"22","2020-05-30T00:00:00.000","Alabama","103","1106","113.00","95","30",,"169","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-05-31T00:00:00.000","2020-06-06T00:00:00.000","By Week","2020",,"23","2020-06-06T00:00:00.000","Alabama","90","1169","116.00","86","32",,"145","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-06-07T00:00:00.000","2020-06-13T00:00:00.000","By Week","2020",,"24","2020-06-13T00:00:00.000","Alabama","81","1134","120.0","76","29","0","128",
"2021-01-22T00:00:00.000","2020-06-14T00:00:00.000","2020-06-20T00:00:00.000","By Week","2020",,"25","2020-06-20T00:00:00.000","Alabama","88","1087","111.00","79","25","0","142",
"2021-01-22T00:00:00.000","2020-06-21T00:00:00.000","2020-06-27T00:00:00.000","By Week","2020",,"26","2020-06-27T00:00:00.000","Alabama","102","1148","123.00","83","30","0","155",
"2021-01-22T00:00:00.000","2020-06-28T00:00:00.000","2020-07-04T00:00:00.000","By Week","2020",,"27","2020-07-04T00:00:00.000","Alabama","121","1196","121.00","94","48",,"167","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-07-05T00:00:00.000","2020-07-11T00:00:00.000","By Week","2020",,"28","2020-07-11T00:00:00.000","Alabama","134","1259","127.00","95","36","0","193",
"2021-01-22T00:00:00.000","2020-07-12T00:00:00.000","2020-07-18T00:00:00.000","By Week","2020",,"29","2020-07-18T00:00:00.000","Alabama","191","1289","134.00","102","45","0","248",
"2021-01-22T00:00:00.000","2020-07-19T00:00:00.000","2020-07-25T00:00:00.000","By Week","2020",,"30","2020-07-25T00:00:00.000","Alabama","247","1326","142.00","134","87",,"295","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-07-26T00:00:00.000","2020-08-01T00:00:00.000","By Week","2020",,"31","2020-08-01T00:00:00.000","Alabama","261","1360","141.00","157","94",,"325","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-08-02T00:00:00.000","2020-08-08T00:00:00.000","By Week","2020",,"32","2020-08-08T00:00:00.000","Alabama","261","1369","141.00","133","86",,"309","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-08-09T00:00:00.000","2020-08-15T00:00:00.000","By Week","2020",,"33","2020-08-15T00:00:00.000","Alabama","229","1299","137.00","140","83","0","286",
"2021-01-22T00:00:00.000","2020-08-16T00:00:00.000","2020-08-22T00:00:00.000","By Week","2020",,"34","2020-08-22T00:00:00.000","Alabama","207","1293","139.00","118","64","0","261",
"2021-01-22T00:00:00.000","2020-08-23T00:00:00.000","2020-08-29T00:00:00.000","By Week","2020",,"35","2020-08-29T00:00:00.000","Alabama","183","1214","127.00","130","71","0","242",
"2021-01-22T00:00:00.000","2020-08-30T00:00:00.000","2020-09-05T00:00:00.000","By Week","2020",,"36","2020-09-05T00:00:00.000","Alabama","153","1206","124.00","110","58","0","205",
"2021-01-22T00:00:00.000","2020-09-06T00:00:00.000","2020-09-12T00:00:00.000","By Week","2020",,"37","2020-09-12T00:00:00.000","Alabama","137","1230","128.00","110","50","0","197",
"2021-01-22T00:00:00.000","2020-09-13T00:00:00.000","2020-09-19T00:00:00.000","By Week","2020",,"38","2020-09-19T00:00:00.000","Alabama","137","1188","124.00","98","46","0","189",
"2021-01-22T00:00:00.000","2020-09-20T00:00:00.000","2020-09-26T00:00:00.000","By Week","2020",,"39","2020-09-26T00:00:00.000","Alabama","104","1178","119.00","78","30","0","152",
"2021-01-22T00:00:00.000","2020-09-27T00:00:00.000","2020-10-03T00:00:00.000","By Week","2020",,"40","2020-10-03T00:00:00.000","Alabama","107","1092","115.00","90","36","0","161",
"2021-01-22T00:00:00.000","2020-10-04T00:00:00.000","2020-10-10T00:00:00.000","By Week","2020",,"41","2020-10-10T00:00:00.000","Alabama","134","1191","126.00","103","50",,"188","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-10-11T00:00:00.000","2020-10-17T00:00:00.000","By Week","2020",,"42","2020-10-17T00:00:00.000","Alabama","125","1175","120.0","87","41","0","171",
"2021-01-22T00:00:00.000","2020-10-18T00:00:00.000","2020-10-24T00:00:00.000","By Week","2020",,"43","2020-10-24T00:00:00.000","Alabama","117","1130","116.00","102","35",,"185","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-10-25T00:00:00.000","2020-10-31T00:00:00.000","By Week","2020",,"44","2020-10-31T00:00:00.000","Alabama","129","1147","120.0","103","46","0","186",
"2021-01-22T00:00:00.000","2020-11-01T00:00:00.000","2020-11-07T00:00:00.000","By Week","2020",,"45","2020-11-07T00:00:00.000","Alabama","147","1242","124.00","102","50","0","199",
"2021-01-22T00:00:00.000","2020-11-08T00:00:00.000","2020-11-14T00:00:00.000","By Week","2020",,"46","2020-11-14T00:00:00.000","Alabama","169","1239","120.0","115","60",,"224","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-11-15T00:00:00.000","2020-11-21T00:00:00.000","By Week","2020",,"47","2020-11-21T00:00:00.000","Alabama","157","1231","121.00","95","43",,"209","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-11-22T00:00:00.000","2020-11-28T00:00:00.000","By Week","2020",,"48","2020-11-28T00:00:00.000","Alabama","194","1268","121.00","105","56",,"244","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-11-29T00:00:00.000","2020-12-05T00:00:00.000","By Week","2020",,"49","2020-12-05T00:00:00.000","Alabama","230","1266","119.00","123","68","0","285",
"2021-01-22T00:00:00.000","2020-12-06T00:00:00.000","2020-12-12T00:00:00.000","By Week","2020",,"50","2020-12-12T00:00:00.000","Alabama","335","1473","136.00","181","119",,"397","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-12-13T00:00:00.000","2020-12-19T00:00:00.000","By Week","2020",,"51","2020-12-19T00:00:00.000","Alabama","294","1316","119.00","163","105",,"352","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-12-20T00:00:00.000","2020-12-26T00:00:00.000","By Week","2020",,"52","2020-12-26T00:00:00.000","Alabama","248","1173","110.0","122","74",,"297","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-12-27T00:00:00.000","2021-01-02T00:00:00.000","By Week",,,"53","2021-01-02T00:00:00.000","Alabama","203","1099","103.00","112","62",,"254","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2021-01-03T00:00:00.000","2021-01-09T00:00:00.000","By Week","2021",,"1","2021-01-09T00:00:00.000","Alabama","136","797","69.00","83","46","0","173",
"2021-01-22T00:00:00.000","2021-01-10T00:00:00.000","2021-01-16T00:00:00.000","By Week","2021",,"2","2021-01-16T00:00:00.000","Alabama","82","420","36.00","46","28","0","100",
"2021-01-22T00:00:00.000","2019-12-29T00:00:00.000","2020-01-04T00:00:00.000","By Week",,,"1","2020-01-04T00:00:00.000","Alaska","0","89","99.00",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-01-05T00:00:00.000","2020-01-11T00:00:00.000","By Week","2020",,"2","2020-01-11T00:00:00.000","Alaska","0","105","115.00",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-01-12T00:00:00.000","2020-01-18T00:00:00.000","By Week","2020",,"3","2020-01-18T00:00:00.000","Alaska","0","99","105.00",,"0","0",,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-01-19T00:00:00.000","2020-01-25T00:00:00.000","By Week","2020",,"4","2020-01-25T00:00:00.000","Alaska","0","97","118.00",,"0","0",,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-01-26T00:00:00.000","2020-02-01T00:00:00.000","By Week","2020",,"5","2020-02-01T00:00:00.000","Alaska","0","85","95.00","0","0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-02-02T00:00:00.000","2020-02-08T00:00:00.000","By Week","2020",,"6","2020-02-08T00:00:00.000","Alaska","0","92","123.00",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-02-09T00:00:00.000","2020-02-15T00:00:00.000","By Week","2020",,"7","2020-02-15T00:00:00.000","Alaska","0","89","102.00","0","0","0","0",
"2021-01-22T00:00:00.000","2020-02-16T00:00:00.000","2020-02-22T00:00:00.000","By Week","2020",,"8","2020-02-22T00:00:00.000","Alaska","0","83","102.00",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-02-23T00:00:00.000","2020-02-29T00:00:00.000","By Week","2020",,"9","2020-02-29T00:00:00.000","Alaska","0","84","100",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-01T00:00:00.000","2020-03-07T00:00:00.000","By Week","2020",,"10","2020-03-07T00:00:00.000","Alaska","0","79","92.00",,"0","0",,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-08T00:00:00.000","2020-03-14T00:00:00.000","By Week","2020",,"11","2020-03-14T00:00:00.000","Alaska","0","92","109.00",,"0","0",,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-15T00:00:00.000","2020-03-21T00:00:00.000","By Week","2020",,"12","2020-03-21T00:00:00.000","Alaska","0","69","87.00",,"0",,,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-22T00:00:00.000","2020-03-28T00:00:00.000","By Week","2020",,"13","2020-03-28T00:00:00.000","Alaska",,"85","99.00","10",,,"11","One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-03-29T00:00:00.000","2020-04-04T00:00:00.000","By Week","2020",,"14","2020-04-04T00:00:00.000","Alaska",,"98","113.00",,,"0",,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-04-05T00:00:00.000","2020-04-11T00:00:00.000","By Week","2020",,"15","2020-04-11T00:00:00.000","Alaska",,"84","97.00",,,"0",,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
"2021-01-22T00:00:00.000","2020-04-12T00:00:00.000","2020-04-18T00:00:00.000","By Week","2020",,"16","2020-04-18T00:00:00.000","Alaska",,"80","103.00",,"0","0",,"One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards."
